,code,content_code,user_code,text,watched_at,likes_count,replies_count,spoiler,improper,replyable,created_at,user.code,user.name,user.photo.original,user.photo.large,user.photo.small,user.watcha_play_user,user.official_user,user_content_action.rating,user_content_action.status,user_content_action.mehed,user_content_action.watched_at,user_content_action.user_code,user_content_action.content_code
47,kpeQKqKe1K2YN,mWqJYmB,nkPvrXM2Exgar,"딱 좋은 수준입니다.
동물들의 귀여움과 유머, 안정적인 인물 구도, 적당한 모험과 활극, 의사라는 특징을 잃지 않는 전개, 그리고 어쨌든 뚜렷한 목표와 깔끔한 해결이 있는 결말까지. 기분 좋은 유쾌함을 줍니다.
두리틀이 마법을 썼다면 이 영화에 신비한 동물사전이라는 제목이 더 어울렸을 것 같아요. 시리즈화까지는 의문이지만 다음 속편 정도는 기대됩니다.",,16,0,False,False,True,2020-01-10T21:11:11+09:00,nkPvrXM2Exgar,천지민,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1556267300/e5ugjbnbolhdmk9focx5.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1556267300/e5ugjbnbolhdmk9focx5.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1556267300/e5ugjbnbolhdmk9focx5.jpg",True,False,7.0,,False,,nkPvrXM2Exgar,mWqJYmB
48,nd3M3lm7W8QNg,mWqJYmB,ld0q0LX3Yq6Xn,"마음이 따뜻해지는 동화 한 편 보고 나온 기분.
스토리가 뻔할지언정
보는 내내 미소 가득이었으면 됐지 :-)",,16,0,False,False,True,2020-01-08T14:27:36+09:00,ld0q0LX3Yq6Xn,노란잠수함,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1564844382/v6wqb2txrflbrnszpkfr.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1564844382/v6wqb2txrflbrnszpkfr.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1564844382/v6wqb2txrflbrnszpkfr.jpg",True,False,7.0,,False,,ld0q0LX3Yq6Xn,mWqJYmB
49,6GWQ1LyAjzMJ5,mWqJYmB,36lvXKdAPqXdn,4dx에서도 잘 수 있다는 걸 깨달았다..ㅠㅜ,,15,0,False,False,True,2020-01-16T11:17:39+09:00,36lvXKdAPqXdn,영우,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1501336438/zdclvvncewhbcnqqe7kz.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1501336438/zdclvvncewhbcnqqe7kz.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1501336438/zdclvvncewhbcnqqe7kz.jpg",True,False,5.0,,False,,36lvXKdAPqXdn,mWqJYmB
50,NXnE50ApxPQzG,mWqJYmB,DgwxAa0rdxrMj,"좋은 소재에 로다쥬가 나오는데 스토리가 너무재미없다. 
로다쥬보다 동물들이 더 보고싶다.
그게 다인 영화.",,14,0,False,False,True,2020-02-25T20:33:25+09:00,DgwxAa0rdxrMj,유권민,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1596007020/jkt8flrunkkbfuekxtlz.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1596007020/jkt8flrunkkbfuekxtlz.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1596007020/jkt8flrunkkbfuekxtlz.jpg",False,False,5.0,,False,,DgwxAa0rdxrMj,mWqJYmB
51,lP0E8Je9P9Mbx,mWqJYmB,ZBm5RAKe6vd46,어린 아이 생선 먹는데 가시 조심하라고 발라주려다가 뼈에 붙은 살코기 조금만 남은 느낌.,,14,0,False,False,True,2020-01-25T18:19:19+09:00,ZBm5RAKe6vd46,나지수,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1552580537/tvojmmq2afz8wgq7eyio.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1552580537/tvojmmq2afz8wgq7eyio.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1552580537/tvojmmq2afz8wgq7eyio.jpg",True,False,4.0,,False,,ZBm5RAKe6vd46,mWqJYmB
52,boY2lKByN8EWO,mWqJYmB,nkPvrZwJDvgar,"사람과는 담을 쌓고 동물하고만 소통하는 의사 선생님의 마음은 이해하겠는데, 산만하고 엉성하게 끌고 가다가 대충 봉합수술하고 끝내시니까 복장이 터지겠네요. 수술 자국이 터지려나?",,14,0,False,False,True,2020-01-10T22:21:40+09:00,nkPvrZwJDvgar,지수_evol,,https://images.watcha.net/user/1179195/large/540baa1bd8d6f985e31207ec7244f53bcba1a5f8.jpg,https://images.watcha.net/user/1179195/small/540baa1bd8d6f985e31207ec7244f53bcba1a5f8.jpg,True,False,4.0,,False,,nkPvrZwJDvgar,mWqJYmB
53,j7kQzmB7zzMl4,mWqJYmB,j4PxO0pLkqp0Q,"귀여운게 잔뜩나온다
생각대로 흘러가지만 그래도 귀엽다",,13,0,False,False,True,2020-01-19T22:36:19+09:00,j4PxO0pLkqp0Q,정한별,,https://images.watcha.net/user/507624/large/0d86f02b01d21311638a603d71a16d2c91ee03e4.jpg,https://images.watcha.net/user/507624/small/0d86f02b01d21311638a603d71a16d2c91ee03e4.jpg,False,False,7.0,,False,,j4PxO0pLkqp0Q,mWqJYmB
54,PkvE6nb3ljEpg,mWqJYmB,NP9vLZ9b9x6kl,넷플릭스 오리지널 급...이상도 이하도 아님.... 아쉬움 잘 모르는 우리도 실망인데 북미 박스오피스는 얼마나 실망스러울까....,,13,0,False,False,True,2020-01-09T03:26:21+09:00,NP9vLZ9b9x6kl,목표는 평생 보기,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1579879760/e2ij2vvgvquu4rxydlmc.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1579879760/e2ij2vvgvquu4rxydlmc.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1579879760/e2ij2vvgvquu4rxydlmc.jpg",True,False,4.0,,False,,NP9vLZ9b9x6kl,mWqJYmB
55,Vw8MLrWomZEel,mWqJYmB,87Gv7Nk6XVqE6,"1967-1998에 이은 로다주의 2020년작
아이들이 보기 좋은 영화..난 썩었어! 내 동심ㅠㅠ
스파이더맨 ""홈 톨랜드""의 목소리를 기대하면서 봤었는데,
 많이 안나와서 아쉬었음ㅠ
아, 대신에 ""라미 말렉"", ""셀레나 고메즈"", ""존 시나"" 등 유명배우들이 많아서 귀가 즐거웠다는~~!ㅎ
언더루스는 스파이 지니어스에서 많이 들어야지!!
#토니가 손재주는 좋아~",2020-01-08T21:00:01+09:00,13,0,False,False,True,2020-01-08T20:22:44+09:00,87Gv7Nk6XVqE6,차한잔,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1535418043/if7aquejajaqfgum7erd.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1535418043/if7aquejajaqfgum7erd.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1535418043/if7aquejajaqfgum7erd.jpg",True,False,3.0,,False,2020-01-08T21:00:01+09:00,87Gv7Nk6XVqE6,mWqJYmB
56,69oMvnBNn8Mal,mWqJYmB,7gdxdpDo4xGYJ,에디 머피가 이 영화를 싫어합니다.,,12,0,False,False,True,2020-01-16T17:17:02+09:00,7gdxdpDo4xGYJ,차칸수니리,,https://images.watcha.net/user/607819/large/ef1af22e0920f584f7e23b4ffe86358d1b60935e.jpg,https://images.watcha.net/user/607819/small/ef1af22e0920f584f7e23b4ffe86358d1b60935e.jpg,True,False,6.0,,False,,7gdxdpDo4xGYJ,mWqJYmB
